filename	method	genomes	kmers	bytes	compr_lines
recompressed_00000028.bz2	bz2	28	37234	28939	28
recompressed_00000028.gz	gz	28	37234	17701	28
recompressed_00000028.repair	repair	28	37234	18944	28
recompressed_00000028.xz	xz	28	37234	9760	28
recompressed_00000029.bz2	bz2	29	37605	27156	29
recompressed_00000029.gz	gz	29	37605	18033	29
recompressed_00000029.repair	repair	29	37605	19456	29
recompressed_00000029.xz	xz	29	37605	9832	29
recompressed_00000030.bz2	bz2	30	37752	27901	30
recompressed_00000030.gz	gz	30	37752	18349	30
recompressed_00000030.repair	repair	30	37752	19456	30
recompressed_00000030.xz	xz	30	37752	9904	30
recompressed_00000031.bz2	bz2	31	38341	35880	31
recompressed_00000031.gz	gz	31	38341	18698	31
recompressed_00000031.repair	repair	31	38341	19968	31
recompressed_00000031.xz	xz	31	38341	9956	31
recompressed_00000032.bz2	bz2	32	38589	40225	32
recompressed_00000032.gz	gz	32	38589	19006	32
recompressed_00000032.repair	repair	32	38589	19968	32
recompressed_00000032.xz	xz	32	38589	10016	32
recompressed_00000033.bz2	bz2	33	39065	42196	33
recompressed_00000033.gz	gz	33	39065	19343	33
recompressed_00000033.repair	repair	33	39065	20480	33
recompressed_00000033.xz	xz	33	39065	10088	33
recompressed_00000034.bz2	bz2	34	39189	43112	34
recompressed_00000034.gz	gz	34	39189	19598	34
recompressed_00000034.repair	repair	34	39189	20480	34
recompressed_00000034.xz	xz	34	39189	10104	34
recompressed_00000035.bz2	bz2	35	39437	46811	35
recompressed_00000035.gz	gz	35	39437	19904	35
recompressed_00000035.repair	repair	35	39437	20992	35
recompressed_00000035.xz	xz	35	39437	10168	35
recompressed_00000036.bz2	bz2	36	39592	47017	36
recompressed_00000036.gz	gz	36	39592	20167	36
recompressed_00000036.repair	repair	36	39592	21504	36
recompressed_00000036.xz	xz	36	39592	10228	36
recompressed_00000037.bz2	bz2	37	39747	45630	37
recompressed_00000037.gz	gz	37	39747	20424	37
recompressed_00000037.repair	repair	37	39747	21504	37
recompressed_00000037.xz	xz	37	39747	10248	37
recompressed_00000038.bz2	bz2	38	40491	46247	38
recompressed_00000038.gz	gz	38	40491	20855	38
recompressed_00000038.repair	repair	38	40491	22016	38
recompressed_00000038.xz	xz	38	40491	10360	38
recompressed_00000039.bz2	bz2	39	40615	49851	39
recompressed_00000039.gz	gz	39	40615	21124	39
recompressed_00000039.repair	repair	39	40615	22016	39
recompressed_00000039.xz	xz	39	40615	10404	39
recompressed_00000040.bz2	bz2	40	40960	50190	40
recompressed_00000040.gz	gz	40	40960	21541	40
recompressed_00000040.repair	repair	40	40960	22528	40
recompressed_00000040.xz	xz	40	40960	10480	40
recompressed_00000041.bz2	bz2	41	40960	50850	41
recompressed_00000041.gz	gz	41	40960	21773	41
recompressed_00000041.repair	repair	41	40960	22528	41
recompressed_00000041.xz	xz	41	40960	10480	41
recompressed_00000042.bz2	bz2	42	41136	50016	42
recompressed_00000042.gz	gz	42	41136	22081	42
recompressed_00000042.repair	repair	42	41136	22528	42
recompressed_00000042.xz	xz	42	41136	10556	42
recompressed_00000043.bz2	bz2	43	41322	50674	43
recompressed_00000043.gz	gz	43	41322	22458	43
recompressed_00000043.repair	repair	43	41322	23040	43
recompressed_00000043.xz	xz	43	41322	10628	43
recompressed_00000044.bz2	bz2	44	41507	50498	44
recompressed_00000044.gz	gz	44	41507	22743	44
